"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,90,"GRL","Greenland",1,"Kujalleq","GL.KU",NA,"","Kommuner","Commune","","Kommune Kujalleq|Kitaa|West Greenland"
2,90,"GRL","Greenland",2,"Northeast Greenland National Park","GL.UO",NA,"","National Park","National Park","",""
3,90,"GRL","Greenland",3,"Qaasuitsup","GL.QS",NA,"","Kommuner","Commune","","Qaasuitsup Kommunia|Avannaa|Kitaa|Northwest Greenland"
4,90,"GRL","Greenland",4,"Qeqqata","GL.QT",NA,"","Kommuner","Commune","","Qeqqata Kommunia|Kitaa|West Greenland"
5,90,"GRL","Greenland",5,"Sermersooq","GL.SE",NA,"","Kommuner","Commune","","Kommuneqarfik Sermersooq|Tunu|East Greenland"
